Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0.033,1263.52673339844,-177.993789672852,2135.83081054688,1234.43103027344,-182.276596069336,2214.65478515625,1289.76354980469,-174.131790161133,2064.75219726563,1290.01037597656,167.367599487305,2320.0166015625,1311.97631835938,193.788665771484,2081.74877929688,1261.14428710938,517.617736816406,2353.32763671875,1239.06726074219,542.984680175781,2082.1279296875,1339.89221191406,630.127075195313,2458.2978515625,1332.568359375,665.058044433594,2122.716796875,1248.76000976563,-671.497863769531,2086.87231445313,1252.51586914063,-473.303833007813,2115.72094726563,1256.26428222656,-342.034973144531,2124.23706054688,1258.57788085938,-746.018737792969,2081.30639648438,1235.36499023438,-642.763305664063,2119.12451171875,1261.59765625,-634.5986328125,2063.4404296875,1200.22448730469,-616.702941894531,2243.55615234375,1319.18774414063,-570.40087890625,1978.08337402344,1195.8349609375,-387.074188232422,2354.29614257813,1325.27722167969,-312.488647460938,1947.435546875,1172.15270996094,-196.233001708984,2448.1884765625,1329.35864257813,-97.4926681518555,1920.53149414063
0.066,1270.58569335938,-176.630813598633,2154.59936523438,1252.21105957031,-186.831024169922,2236.8134765625,1287.15478515625,-167.432830810547,2080.46337890625,1328.83972167969,164.882629394531,2332.90014648438,1313.72180175781,202.730758666992,2108.42016601563,1265.96215820313,514.152954101563,2361.80493164063,1242.43701171875,554.155151367188,2138.078125,1381.06481933594,627.970703125,2426.56030273438,1355.08374023438,666.348205566406,2159.38110351563,1239.95251464844,-670.657470703125,2079.54541015625,1247.33349609375,-471.505584716797,2112.81787109375,1255.31750488281,-340.249603271484,2130.88696289063,1249.05358886719,-745.645080566406,2070.98706054688,1230.40087890625,-642.493957519531,2114.13354492188,1250.05749511719,-632.855590820313,2055.45556640625,1213.49670410156,-612.074401855469,2242.53857421875,1308.56140136719,-566.731262207031,1970.69738769531,1203.72778320313,-386.74462890625,2366.11157226563,1317.31823730469,-306.867126464844,1938.14953613281,1192.37609863281,-198.044158935547,2470.29565429688,1323.53100585938,-90.2247543334961,1909.76733398438
0.297,1246.47143554688,-211.928146362305,2123.98510742188,1246.96228027344,-202.200805664063,2035.91967773438,1246.02868652344,-220.699722290039,2203.39721679688,1138.86926269531,169.025955200195,1993.0849609375,1215.58837890625,160.296142578125,2273.52685546875,1233.32604980469,526.636840820313,2030.599609375,1369.10266113281,500.464782714844,2316.61645507813,1115.85241699219,664.553039550781,2012.78588867188,1278.89184570313,636.719970703125,2353.33032226563,1205.31225585938,-728.616455078125,2059.068359375,1223.83654785156,-520.72021484375,2089.7509765625,1225.65734863281,-382.979461669922,2104.97534179688,1185.56726074219,-804.408935546875,2046.17736816406,1213.57800292969,-690.285400390625,2032.0341796875,1205.19702148438,-698.445495605469,2096.37182617188,1227.68786621094,-618.645812988281,1913.8642578125,1180.93115234375,-665.836730957031,2217.52490234375,1220.62329101563,-351.366851806641,1889.01806640625,1202.45703125,-418.168365478516,2331.78955078125,1170.33752441406,-131.829162597656,1880.751953125,1135.9990234375,-201.786697387695,2360.94775390625
0.33,1180.14001464844,-204.880813598633,2100.45874023438,1190.95263671875,-199.155990600586,2013.02880859375,1170.38977050781,-210.043151855469,2179.29833984375,1129.61145019531,179.130874633789,1954.96044921875,1173.71325683594,165.514694213867,2273.41333007813,1210.28295898438,538.801330566406,1991.65295410156,1282.35192871094,513.169494628906,2359.744140625,1103.44372558594,683.508605957031,1968.3251953125,1186.2998046875,645.681640625,2392.353515625,1188.37451171875,-723.905822753906,2060.74975585938,1184.89965820313,-514.689147949219,2080.76147460938,1190.07287597656,-377.033721923828,2090.41479492188,1177.07214355469,-801.464050292969,2050.16552734375,1196.71032714844,-686.487060546875,2032.77783203125,1180.88781738281,-692.190307617188,2095.72583007813,1223.48779296875,-624.191101074219,1912.11987304688,1133.67138671875,-655.152770996094,2208.025390625,1215.568359375,-357.188720703125,1896.89636230469,1163.84362792969,-411.293151855469,2326.09765625,1134.98132324219,-148.52995300293,1877.03820800781,1133.64318847656,-191.50341796875,2376.02026367188
0.363,1179.21020507813,-193.830902099609,2105.60791015625,1199.0703125,-184.288146972656,2018.26831054688,1161.30151367188,-202.436050415039,2184.36596679688,1171.3759765625,209.555145263672,2041.18090820313,1142.24035644531,181.905822753906,2273.73095703125,1197.81530761719,583.94384765625,2085.73974609375,1146.69274902344,553.916625976563,2360.107421875,1056.16259765625,698.001586914063,2051.4580078125,1005.24700927734,645.246704101563,2385.48999023438,1156.44580078125,-720.787109375,2043.63293457031,1167.48852539063,-508.060516357422,2068.60961914063,1181.50085449219,-369.071075439453,2086.98193359375,1139.75903320313,-798.621643066406,2030.39575195313,1169.45751953125,-682.846557617188,2016.50830078125,1149.08764648438,-688.594177246094,2079.52978515625,1207.14038085938,-620.702392578125,1895.42626953125,1098.37023925781,-647.963134765625,2192.02368164063,1209.67016601563,-347.877990722656,1904.61853027344,1148.27404785156,-416.491241455078,2337.97216796875,1111.77868652344,-141.616790771484,1885.35107421875,1127.13403320313,-191.305328369141,2389.73681640625
0.396,1158.88940429688,-195.592498779297,2067.74072265625,1178.23168945313,-193.09748840332,1982.25939941406,1141.44763183594,-197.842346191406,2144.82275390625,1098.02526855469,179.52961730957,1928.38146972656,1017.90234375,150.60432434082,2250.603515625,1201.03930664063,529.931396484375,1972.56958007813,1092.72546386719,505.210632324219,2333.45434570313,1095.37719726563,674.958740234375,1956.6650390625,985.015930175781,627.1259765625,2365.14624023438,1131.41821289063,-710.817687988281,2042.12951660156,1151.84155273438,-503.601196289063,2057.15576171875,1162.80920410156,-367.047943115234,2063.62329101563,1111.61169433594,-786.244689941406,2032.73706054688,1145.50793457031,-675.705932617188,2014.02258300781,1126.02404785156,-677.679809570313,2075.69848632813,1181.17407226563,-622.84619140625,1892.24938964844,1073.12194824219,-639.804016113281,2184.13305664063,1187.22680664063,-357.457000732422,1904.10009765625,1120.19799804688,-408.962860107422,2317.55590820313,1096.45104980469,-154.215591430664,1890.24084472656,1111.37292480469,-191.195419311523,2376.76831054688
0.429,1095.93823242188,-198.875473022461,2088.70947265625,1120.51599121094,-197.04914855957,2001.49133300781,1073.775390625,-200.522354125977,2167.35766601563,1084.89733886719,196.089080810547,1951.30236816406,998.240356445313,178.491165161133,2260.3515625,1187.12292480469,561.970458984375,1968.75854492188,951.698425292969,550.364685058594,2345.3623046875,1063.56530761719,696.715942382813,1933.37451171875,791.931640625,602.639892578125,2378.43774414063,1089.27416992188,-732.577758789063,2074.72265625,1092.82775878906,-516.904602050781,2081.17333984375,1106.07995605469,-375.915374755859,2087.86010742188,1075.23303222656,-812.297119140625,2068.36987304688,1100.82055664063,-696.471862792969,2044.11743164063,1080.92663574219,-697.460327148438,2107.97509765625,1140.82727050781,-639.499877929688,1920.24719238281,1034.53039550781,-647.706604003906,2219.59692382813,1134.04333496094,-364.914947509766,1922.67602539063,962.456726074219,-391.832794189453,2307.14428710938,1050.59118652344,-150.783782958984,1904.43640136719,832.448120117188,-197.965835571289,2311.21752929688
0.462,1089.51135253906,-185.518096923828,2087.48413085938,1118.16906738281,-182.960571289063,2000.43005371094,1063.66955566406,-187.824340820313,2165.98461914063,904.132751464844,155.166305541992,2044.04089355469,920.270629882813,173.561752319336,2268.60766601563,966.642944335938,519.489379882813,2150.63671875,909.619201660156,551.152954101563,2360.49462890625,815.163696289063,625.725402832031,2115.244140625,741.34619140625,591.487915039063,2370.23559570313,1074.77941894531,-723.880981445313,2075.87475585938,1087.7958984375,-505.971252441406,2077.5048828125,1106.28137207031,-364.123291015625,2087.75756835938,1057.73779296875,-803.98681640625,2069.60498046875,1092.0947265625,-688.855102539063,2045.83435058594,1063.72375488281,-687.018493652344,2107.240234375,1125.380859375,-631.948608398438,1918.1025390625,1003.28717041016,-623.777770996094,2206.40966796875,1110.12609863281,-354.513305664063,1920.89782714844,926.137512207031,-352.462890625,2230.82543945313,1033.48669433594,-134.469024658203,1911.03759765625,814.219055175781,-146.248016357422,2203.88549804688
0.495,1008.43908691406,-202.163040161133,2143.07373046875,1019.75610351563,-187.774505615234,2057.21044921875,998.233947753906,-215.137802124023,2220.50073242188,846.993286132813,156.641479492188,2046.83996582031,862.311462402344,139.013565063477,2286.5244140625,938.523071289063,507.424224853516,2112.23022460938,802.400390625,502.132904052734,2342.44580078125,803.316040039063,625.605346679688,2095.25756835938,646.288635253906,551.675598144531,2369.2041015625,1014.9140625,-713.038940429688,2079.70532226563,1021.52941894531,-504.604705810547,2094.11767578125,1034.81872558594,-370.099060058594,2118.40893554688,1000.09027099609,-789.755065917969,2070.7119140625,1026.21032714844,-677.082336425781,2051.30249023438,1007.77062988281,-680.210388183594,2113.33984375,1035.87927246094,-611.04833984375,1930.92517089844,945.824829101563,-628.824951171875,2211.0927734375,1034.98071289063,-344.999664306641,1934.34362792969,912.565734863281,-360.814422607422,2187.37353515625,999.854614257813,-124.585586547852,1941.70043945313,854.497680664063,-147.182830810547,2141.2158203125
0.528,987.135437011719,-195.497207641602,2153.876953125,993.931213378906,-178.112426757813,2065.93481445313,981.007263183594,-211.173828125,2233.17846679688,851.010803222656,164.757064819336,2199.39697265625,853.528381347656,156.707641601563,2295.4287109375,813.706176757813,517.98486328125,2326.42407226563,760.304260253906,520.901550292969,2358.50854492188,656.963195800781,599.086303710938,2380.93334960938,594.11083984375,554.236633300781,2370.69311523438,985.882934570313,-717.5419921875,2082.06201171875,996.124450683594,-504.041442871094,2093.57739257813,1009.79089355469,-366.9453125,2121.73510742188,969.9609375,-795.920715332031,2072.58081054688,1001.68035888672,-681.613220214844,2053.8662109375,975.410827636719,-683.048400878906,2114.77880859375,1024.33374023438,-616.484558105469,1930.94140625,914.5556640625,-627.96875,2215.1552734375,1028.3466796875,-344.406188964844,1944.80895996094,866.351623535156,-356.968078613281,2179.02319335938,954.557678222656,-128.045852661133,1950.93029785156,805.807250976563,-142.212173461914,2117.0498046875
