Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0.033,1426.02795410156,-155.318054199219,2147.73583984375,1461.96240234375,-151.5498046875,2083.52783203125,1393.6240234375,-158.716049194336,2205.63500976563,1406.7412109375,160.062118530273,2150.49829101563,1349.74060058594,161.261138916016,2195.62670898438,1467.00952148438,449.024261474609,2242.35620117188,1440.51843261719,455.567016601563,2247.9140625,1363.00634765625,552.603759765625,2205.36743164063,1347.13012695313,553.508056640625,2215.013671875,1413.29052734375,-587.307434082031,2104.923828125,1420.03515625,-413.705139160156,2129.21752929688,1427.9111328125,-299.269927978516,2140.34155273438,1401.453125,-650.623840332031,2090.52075195313,1428.91186523438,-556.220275878906,2086.00073242188,1401.40454101563,-561.191345214844,2132.64208984375,1476.54162597656,-507.640960693359,1992.65515136719,1345.87915039063,-530.904846191406,2218.03125,1540.33117675781,-307.987518310547,1915.66882324219,1302.3583984375,-340.496826171875,2334.70385742188,1397.42736816406,-199.461364746094,1861.61193847656,1198.8310546875,-200.978271484375,2258.32958984375
0.066,1420.35437011719,-164.112380981445,2145.56420898438,1455.40258789063,-160.332229614258,2074.77197265625,1388.74987792969,-167.521087646484,2209.40112304688,1401.79248046875,176.216598510742,2141.26586914063,1337.79797363281,174.963958740234,2189.1728515625,1464.86865234375,487.318054199219,2237.9658203125,1434.271484375,491.986267089844,2240.47729492188,1347.21740722656,593.000793457031,2200.6826171875,1329.35571289063,592.93408203125,2206.56103515625,1418.72033691406,-629.021606445313,2111.109375,1413.89514160156,-441.503570556641,2127.5546875,1423.30114746094,-318.669799804688,2138.77026367188,1410.03527832031,-698.446166992188,2099.95874023438,1431.41943359375,-595.684265136719,2087.98779296875,1406.10852050781,-600.409606933594,2140.36938476563,1468.10241699219,-541.31396484375,1982.77099609375,1351.88623046875,-571.144653320313,2236.35668945313,1518.31201171875,-325.623382568359,1891.1103515625,1291.3154296875,-371.164764404297,2362.7626953125,1363.56665039063,-206.792419433594,1842.12426757813,1158.13110351563,-238.221084594727,2284.75317382813
0.132,1404.10925292969,-146.417739868164,2142.21118164063,1442.39904785156,-141.874969482422,2073.52978515625,1369.58166503906,-150.51416015625,2204.14428710938,1374.51440429688,188.287460327148,2150.82177734375,1287.84875488281,184.909317016602,2192.18041992188,1455.62670898438,489.017456054688,2261.31616210938,1379.50183105469,500.118255615234,2253.66040039063,1350.78674316406,607.820251464844,2228.41455078125,1280.5595703125,607.91650390625,2226.12817382813,1378.61254882813,-608.461120605469,2109.1865234375,1396.19555664063,-422.036346435547,2119.5693359375,1407.96826171875,-300.270629882813,2134.1865234375,1362.33618164063,-676.392333984375,2099.20922851563,1397.73168945313,-578.098937988281,2086.7080078125,1366.88098144531,-577.414367675781,2135.97387695313,1451.18798828125,-539.488708496094,1982.30383300781,1308.09594726563,-541.835998535156,2226.43798828125,1496.7138671875,-327.270690917969,1882.93933105469,1246.61853027344,-318.323944091797,2300.07055664063,1340.33618164063,-218.413955688477,1820.99694824219,1132.4833984375,-186.193252563477,2196.736328125
0.165,1387.31774902344,-140.948928833008,2149.57177734375,1430.41687011719,-136.841201782227,2080.447265625,1348.45349121094,-144.653015136719,2211.904296875,1365.01196289063,204.808120727539,2165.51928710938,1273.28466796875,205.058044433594,2215.80639648438,1445.02954101563,466.422332763672,2371.14526367188,1399.52209472656,481.705078125,2380.5322265625,1351.71459960938,605.302062988281,2361.82202148438,1323.78344726563,615.133361816406,2365.30078125,1373.92993164063,-620.971069335938,2132.52172851563,1388.61364746094,-427.325286865234,2133.36181640625,1393.84460449219,-300.310180664063,2144.17114257813,1358.78454589844,-692.077392578125,2125.1904296875,1394.69482421875,-590.529296875,2108.76342773438,1359.59301757813,-587.5439453125,2157.57666015625,1443.86633300781,-549.049255371094,1998.2509765625,1303.82629394531,-552.045471191406,2254.88330078125,1484.52001953125,-323.804931640625,1904.89086914063,1250.80456542969,-307.370330810547,2282.46044921875,1328.70568847656,-210.301574707031,1828.19152832031,1140.4501953125,-187.302612304688,2149.99829101563
0.198,1353.82067871094,-135.906692504883,2160.08325195313,1395.72216796875,-130.25439453125,2091.96557617188,1316.03625488281,-141.003616333008,2221.50805664063,1350.841796875,213.857116699219,2150.93359375,1253.13916015625,201.38395690918,2271.02905273438,1428.31921386719,508.485260009766,2293.6181640625,1329.33972167969,520.512878417969,2359.97314453125,1336.34521484375,641.830688476563,2263.7412109375,1222.08837890625,625.29248046875,2337.9228515625,1348.24108886719,-607.614379882813,2130.0390625,1358.751953125,-417.259735107422,2139.7705078125,1360.37744140625,-292.379547119141,2151.1328125,1333.86010742188,-677.413452148438,2121.09375,1364.26013183594,-575.885375976563,2105.66650390625,1337.38061523438,-576.569519042969,2158.3759765625,1386.25634765625,-533.469604492188,1989.40893554688,1277.935546875,-544.503540039063,2252.23193359375,1484.6953125,-312.76123046875,2014.62463378906,1293.955078125,-317.029357910156,2348.62744140625,1410.39465332031,-123.264389038086,2027.2421875,1202.42944335938,-141.17822265625,2290.7666015625
0.264,1337.451171875,-140.542755126953,2167.65087890625,1373.91882324219,-137.434173583984,2095.8681640625,1304.56689453125,-143.345901489258,2232.38061523438,1351.66638183594,212.209625244141,2144.89916992188,1222.47326660156,196.728866577148,2282.28588867188,1432.80310058594,522.885864257813,2250.740234375,1265.15637207031,529.80126953125,2345.244140625,1328.04272460938,643.0126953125,2206.01342773438,1139.76416015625,614.80224609375,2329.4189453125,1303.39672851563,-612.634216308594,2130.57861328125,1321.73815917969,-422.410614013672,2147.46166992188,1337.27587890625,-298.043548583984,2160.7412109375,1285.58703613281,-681.806030273438,2120.15283203125,1317.94494628906,-580.142517089844,2105.90747070313,1296.66723632813,-582.483215332031,2161.38940429688,1338.65966796875,-525.459594726563,1993.93322753906,1249.09777832031,-546.70947265625,2261.20263671875,1412.87805175781,-294.694671630859,2023.4462890625,1283.67053222656,-309.983734130859,2329.57788085938,1330.35583496094,-107.978744506836,2041.7294921875,1209.74890136719,-118.63835144043,2297.95849609375
0.297,1311.41442871094,-149.365447998047,2194.96923828125,1336.4638671875,-140.340133666992,2118.64892578125,1288.82629394531,-157.503997802734,2263.79028320313,1341.67260742188,212.632080078125,2155.12573242188,1193.76086425781,182.715896606445,2293.607421875,1452.51733398438,523.183410644531,2234.52661132813,1186.87316894531,522.851135253906,2335.1611328125,1342.95935058594,644.8662109375,2206.76782226563,1052.58361816406,594.137939453125,2319.96142578125,1290.02514648438,-622.525329589844,2142.21850585938,1296.9658203125,-430.755462646484,2156.95068359375,1309.2900390625,-306.32763671875,2175.71020507813,1276.20043945313,-693.003662109375,2132.97290039063,1301.63793945313,-589.335205078125,2116.69311523438,1282.49865722656,-592.445739746094,2173.111328125,1337.21960449219,-539.088500976563,2005.93017578125,1243.17651367188,-563.0615234375,2278.85473632813,1391.19714355469,-301.808776855469,2034.15063476563,1301.04809570313,-323.158325195313,2316.28686523438,1249.13610839844,-155.983337402344,2005.37329101563,1210.73266601563,-140.578475952148,2273.16674804688
0.33,1298.66430664063,-149.093002319336,2207.59228515625,1325.40478515625,-138.892349243164,2131.13012695313,1274.55126953125,-158.291366577148,2276.54150390625,1326.04345703125,217.750991821289,2167.10180664063,1168.3466796875,183.032775878906,2297.29736328125,1443.89538574219,526.506713867188,2257.29931640625,1159.49279785156,527.033081054688,2335.0087890625,1341.32629394531,654.759582519531,2223.12890625,1023.95306396484,596.619323730469,2310.42358398438,1284.87658691406,-627.087280273438,2150.54760742188,1288.74963378906,-433.364807128906,2166.20068359375,1294.06591796875,-307.147369384766,2184.8984375,1271.79931640625,-698.520324707031,2141.83325195313,1293.79162597656,-593.170654296875,2124.16064453125,1279.087890625,-597.051635742188,2182.46655273438,1309.64477539063,-548.062744140625,2005.42907714844,1237.58056640625,-578.101745605469,2291.01904296875,1318.12231445313,-301.009368896484,1994.68225097656,1261.75402832031,-327.50146484375,2304.29711914063,1203.2421875,-128.022384643555,1997.08117675781,1194.34741210938,-130.552688598633,2274.39721679688
0.363,1279.84204101563,-148.887512207031,2207.87622070313,1321.86730957031,-141.700256347656,2138.1396484375,1241.94592285156,-155.368576049805,2270.7607421875,1303.22082519531,215.225799560547,2170.42797851563,1134.93640136719,185.82470703125,2296.16748046875,1418.59716796875,513.155334472656,2295.13940429688,1092.99645996094,527.043029785156,2340.04736328125,1334.39575195313,651.837646484375,2251.78784179688,949.999389648438,580.511535644531,2316.26025390625,1257.74389648438,-627.705688476563,2155.4287109375,1265.64306640625,-433.792083740234,2169.95654296875,1270.81982421875,-307.072296142578,2186.13623046875,1243.16650390625,-698.98583984375,2147.14282226563,1267.32604980469,-594.095825195313,2128.79956054688,1252.61975097656,-597.336303710938,2187.2158203125,1276.81188964844,-546.929260253906,2010.02856445313,1217.89501953125,-574.0966796875,2297.451171875,1258.73327636719,-301.114685058594,1985.27197265625,1237.11389160156,-322.449890136719,2293.8544921875,1132.26696777344,-136.109466552734,1987.939453125,1166.80908203125,-127.261962890625,2257.96826171875
0.396,1269.86022949219,-143.113510131836,2213.61669921875,1310.26916503906,-134.779724121094,2143.12329101563,1233.42175292969,-150.628448486328,2277.18334960938,1203.57055664063,199.291015625,2218.0771484375,1113.90734863281,186.108978271484,2302.74609375,1348.53430175781,484.910827636719,2340.013671875,1057.50415039063,525.250183105469,2344.55419921875,1257.02600097656,623.882263183594,2318.205078125,911.573303222656,568.430358886719,2318.49633789063,1236.27551269531,-620.079772949219,2155.07397460938,1253.10131835938,-426.939575195313,2170.45581054688,1260.69018554688,-300.863311767578,2189.71069335938,1218.49230957031,-690.512451171875,2146.27124023438,1247.90637207031,-586.909301757813,2128.7626953125,1232.03771972656,-589.615173339844,2186.85717773438,1260.83068847656,-543.934875488281,2008.82788085938,1194.56140136719,-558.235046386719,2294.04418945313,1236.16247558594,-298.567352294922,1987.26953125,1254.04370117188,-314.709594726563,2321.90625,1107.44079589844,-135.496459960938,1989.63903808594,1156.29528808594,-137.362213134766,2264.810546875
