Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0.033,1427.26159667969,-168.681350708008,2131.39868164063,1473.9736328125,-166.837936401367,2077.55029296875,1385.13940429688,-170.343658447266,2179.95629882813,1497.71716308594,144.618118286133,2056.24536132813,1369.53442382813,142.011779785156,2181.45434570313,1589.33154296875,416.213989257813,2142.09985351563,1428.26831054688,435.043090820313,2227.33471679688,1540.46704101563,534.144287109375,2070.197265625,1344.56921386719,528.08251953125,2177.25122070313,1419.23120117188,-587.873291015625,2107.63403320313,1415.20202636719,-418.198822021484,2112.3955078125,1426.69836425781,-308.104705810547,2126.13696289063,1412.11633300781,-650.884704589844,2099.88134765625,1434.27587890625,-559.104064941406,2087.25317382813,1404.25231933594,-560.562377929688,2130.45483398438,1490.18469238281,-514.735961914063,2001.20495605469,1345.47058105469,-524.467895507813,2206.7421875,1471.30224609375,-311.907318115234,1929.02404785156,1344.12414550781,-305.213195800781,2186.35571289063,1395.96496582031,-163.502563476563,1856.89990234375,1306.88488769531,-132.518798828125,2136.0595703125
0.066,1381.79370117188,-150.986602783203,2113.29272460938,1425.27990722656,-146.03303527832,2052.81176757813,1342.58044433594,-155.45344543457,2167.8310546875,1401.60363769531,180.119888305664,2075.21069335938,1263.5556640625,162.275192260742,2164.59301757813,1473.66223144531,464.012329101563,2186.29931640625,1323.76928710938,467.257507324219,2224.2890625,1397.80603027344,581.155517578125,2122.65673828125,1227.0888671875,563.392761230469,2187.86865234375,1373.53454589844,-589.2333984375,2077.19287109375,1380.98315429688,-412.195373535156,2091.31591796875,1389.16650390625,-296.720489501953,2106.65771484375,1361.34582519531,-654.100646972656,2066.38305664063,1389.59826660156,-558.994567871094,2056.26196289063,1361.45422363281,-561.094970703125,2103.5849609375,1424.77868652344,-508.975158691406,1956.46447753906,1296.26940917969,-524.316955566406,2180.99462890625,1407.98229980469,-284.929321289063,1929.74865722656,1296.05651855469,-296.3720703125,2146.51611328125,1339.16357421875,-109.65941619873,1905.12451171875,1278.76086425781,-110.294609069824,2101.16479492188
0.165,1352.42456054688,-135.439559936523,2143.56494140625,1409.07592773438,-125.515121459961,2085.94799804688,1301.33959960938,-144.388870239258,2195.52099609375,1341.9423828125,223.383560180664,2124.93896484375,1237.27941894531,206.200103759766,2173.92626953125,1408.32592773438,516.792907714844,2286.775390625,1279.47277832031,538.409790039063,2257.65893554688,1335.50317382813,657.578491210938,2233.3623046875,1182.11376953125,642.70654296875,2199.99145507813,1354.21630859375,-611.374389648438,2080.84106445313,1354.82983398438,-418.230102539063,2097.21948242188,1355.75891113281,-292.895843505859,2119.7216796875,1343.96411132813,-682.4755859375,2068.244140625,1371.54943847656,-577.694885253906,2058.923828125,1338.70935058594,-581.3115234375,2109.10913085938,1420.61499023438,-529.01953125,1951.62353515625,1279.81323242188,-558.406372070313,2208.0703125,1424.0498046875,-293.267547607422,1878.93591308594,1294.84033203125,-314.002166748047,2264.99291992188,1327.46435546875,-119.331893920898,1821.49157714844,1244.00341796875,-111.447441101074,2245.96752929688
0.495,1033.01916503906,-114.679977416992,2169.294921875,1076.66101074219,-107.56755065918,2101.41479492188,993.665466308594,-121.093574523926,2230.50537109375,1128.00903320313,242.783309936523,2135.00732421875,864.54541015625,209.619491577148,2244.48754882813,1238.4423828125,549.333251953125,2231.8564453125,833.206726074219,548.602844238281,2290.31494140625,1191.82214355469,708.293395996094,2215.67211914063,713.332458496094,643.859558105469,2287.60473632813,984.78271484375,-584.844848632813,2101.05737304688,1015.42114257813,-396.3857421875,2128.4638671875,1021.42846679688,-270.956878662109,2145.46850585938,962.266235351563,-652.469482421875,2087.37573242188,1000.12268066406,-551.567138671875,2077.5263671875,981.343444824219,-556.198974609375,2134.10205078125,1011.69488525391,-491.290069580078,1966.33361816406,947.0400390625,-535.163818359375,2243.796875,972.92236328125,-249.589920043945,1947.41345214844,919.078918457031,-296.436218261719,2174.44262695313,877.620910644531,-68.0736312866211,1968.22766113281,895.130920410156,-100.509735107422,2106.73022460938
0.528,944.710876464844,-120.80126953125,2168.27465820313,994.49072265625,-115.391754150391,2103.73217773438,899.822204589844,-125.679267883301,2226.4755859375,1046.25170898438,239.136520385742,2119.9697265625,809.419738769531,220.772155761719,2238.93432617188,1169.94030761719,537.54296875,2234.60522460938,826.092590332031,561.878540039063,2296.7255859375,1128.99658203125,697.661743164063,2205.38208007813,707.028686523438,657.029907226563,2271.93725585938,900.684509277344,-596.792846679688,2108.0830078125,923.997863769531,-404.775665283203,2128.49829101563,930.012084960938,-278.055480957031,2143.7578125,881.139831542969,-666.2353515625,2095.77954101563,917.565673828125,-564.022521972656,2084.22143554688,893.252990722656,-566.389404296875,2139.3408203125,935.754760742188,-510.560455322266,1969.27514648438,842.71435546875,-532.667236328125,2240.28564453125,905.242492675781,-265.257537841797,1955.59985351563,840.524963378906,-299.490692138672,2144.07495117188,808.069580078125,-81.9631805419922,1967.2939453125,838.709838867188,-104.560401916504,2064.85961914063
0.561,895.696533203125,-127.444343566895,2154.49438476563,951.985656738281,-122.551391601563,2096.06494140625,844.938171386719,-131.856536865234,2207.1826171875,1003.8564453125,230.415344238281,2104.5888671875,794.506225585938,219.95378112793,2234.76733398438,1199.73498535156,488.302490234375,2211.54321289063,825.857788085938,556.640014648438,2301.34741210938,1207.33276367188,648.246032714844,2258.95141601563,712.660888671875,657.853271484375,2277.9228515625,862.13623046875,-600.782958984375,2088.43115234375,869.984619140625,-408.233123779297,2106.21069335938,884.113342285156,-284.183074951172,2130.2099609375,848.915954589844,-671.276428222656,2075.859375,879.389831542969,-567.536987304688,2065.93627929688,849.139770507813,-570.544555664063,2117.65185546875,914.308349609375,-512.503662109375,1956.43774414063,793.238342285156,-531.705871582031,2213.09375,877.161865234375,-269.070098876953,1962.74084472656,797.762878417969,-295.216796875,2129.13159179688,781.568664550781,-85.7942428588867,1966.85412597656,799.082275390625,-102.103157043457,2048.2646484375
0.594,862.73828125,-130.81266784668,2154.92822265625,918.399841308594,-128.399566650391,2097.06030273438,812.545715332031,-132.988677978516,2207.11010742188,951.423889160156,222.652481079102,2089.40551757813,803.577087402344,216.986312866211,2246.55883789063,1140.14782714844,476.573883056641,2205.66088867188,820.227416992188,553.686767578125,2295.20556640625,1142.36303710938,641.599304199219,2205.14819335938,711.739929199219,654.394592285156,2261.357421875,809.095642089844,-596.079895019531,2083.87768554688,826.551635742188,-407.224548339844,2108.59497070313,846.616271972656,-285.604248046875,2132.96606445313,792.529296875,-664.468505859375,2068.798828125,827.954711914063,-563.346008300781,2062.96313476563,797.63427734375,-566.664611816406,2113.8017578125,880.124877929688,-513.125366210938,1959.92736816406,743.01953125,-534.472595214844,2210.77514648438,858.94287109375,-270.688842773438,1966.56005859375,759.5009765625,-296.348266601563,2143.26879882813,763.962768554688,-89.7895812988281,1968.80529785156,776.83447265625,-117.966667175293,2039.85668945313
0.627,794.153442382813,-129.889923095703,2156.38720703125,849.019958496094,-127.505081176758,2097.15893554688,744.677978515625,-132.040435791016,2209.79565429688,784.573852539063,221.072601318359,2087.11572265625,723.916381835938,221.166427612305,2227.22778320313,918.273315429688,503.483459472656,2218.38452148438,810.742492675781,543.251525878906,2304.78198242188,883.279174804688,657.502319335938,2167.462890625,712.704528808594,653.947143554688,2266.74243164063,738.296447753906,-598.009460449219,2086.65649414063,759.031921386719,-408.585479736328,2112.63037109375,777.225891113281,-285.477111816406,2134.44140625,721.086669921875,-666.33642578125,2070.18579101563,760.019775390625,-565.747192382813,2067.35791015625,724.972595214844,-567.979187011719,2115.52880859375,822.353393554688,-521.534423828125,1966.38696289063,664.28466796875,-542.109558105469,2211.5439453125,808.316284179688,-277.272155761719,1974.23986816406,684.530090332031,-306.272796630859,2132.91381835938,728.806579589844,-87.8452529907227,1971.48461914063,701.343078613281,-115.056243896484,2052.658203125
0.66,721.505554199219,-133.552810668945,2133.16430664063,754.532592773438,-128.374588012695,2060.83935546875,691.723693847656,-138.222213745117,2198.38305664063,703.898620605469,215.647445678711,2099.08569335938,584.463745117188,191.831314086914,2239.30322265625,792.952331542969,517.167297363281,2212.7890625,717.806457519531,490.438171386719,2324.10205078125,723.333068847656,665.328247070313,2212.50073242188,652.301208496094,625.232666015625,2339.08251953125,694.046813964844,-599.380859375,2082.546875,713.071899414063,-412.534973144531,2109.33911132813,723.614501953125,-289.102661132813,2122.99072265625,676.579833984375,-666.940979003906,2067.52294921875,711.188598632813,-566.491516113281,2061.12426757813,684.864501953125,-570.796508789063,2113.53295898438,751.655822753906,-511.911804199219,1956.30285644531,638.780029296875,-547.42431640625,2216.1787109375,765.970581054688,-271.847015380859,1978.09436035156,632.468811035156,-304.097473144531,2180.25756835938,701.956176757813,-79.9822540283203,1990.99951171875,628.134094238281,-100.629745483398,2153.70361328125
0.693,649.944152832031,-123.500961303711,2150.49487304688,694.892150878906,-118.546577453613,2083.88745117188,609.412536621094,-127.968551635742,2210.5576171875,571.74951171875,210.374862670898,2123.71606445313,459.489410400391,191.463851928711,2223.08544921875,541.843078613281,536.013671875,2208.44018554688,599.561767578125,477.95068359375,2344.87084960938,439.893005371094,661.533325195313,2173.64599609375,543.999389648438,619.42626953125,2352.44116210938,617.595886230469,-593.506225585938,2092.15771484375,636.192443847656,-404.80712890625,2120.29077148438,646.597229003906,-280.368255615234,2136.56811523438,600.874938964844,-661.630432128906,2075.3837890625,637.783569335938,-560.658020019531,2072.50219726563,605.144653320313,-564.288757324219,2122.02026367188,690.847961425781,-516.553649902344,1966.81518554688,551.662719726563,-552.129089355469,2224.36499023438,714.560607910156,-274.826690673828,1989.998046875,536.736328125,-306.153289794922,2257.20703125,663.794677734375,-76.4491424560547,1992.3623046875,524.695617675781,-101.309494018555,2287.18872070313
