,Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0,0.033,1545.22375488281,-156.98664855957,2209.65234375,1544.82238769531,-144.113845825195,2147.1181640625,1545.58569335938,-168.594650268555,2266.04223632813,1505.90954589844,129.749450683594,2192.54858398438,1563.68603515625,93.1510162353516,2363.87744140625,1594.57641601563,374.967864990234,2253.99926757813,1650.37609863281,340.788726806641,2430.57348632813,1519.060546875,481.168029785156,2269.044921875,1576.84240722656,427.726013183594,2470.58325195313,1483.51037597656,-520.243041992188,2140.541015625,1526.24096679688,-376.352478027344,2164.6171875,1532.39770507813,-278.712707519531,2184.67724609375,1458.640625,-571.040466308594,2132.01123046875,1491.28894042969,-492.995910644531,2121.17602539063,1491.263671875,-500.335205078125,2167.72265625,1483.81311035156,-437.212951660156,2038.400390625,1481.37145996094,-471.871948242188,2254.73803710938,1486.1630859375,-249.420318603516,1991.81640625,1536.88879394531,-326.138397216797,2375.36694335938,1379.9892578125,-135.576889038086,2038.09973144531,1510.556640625,-169.806167602539,2419.11840820313
1,0.066,1543.3251953125,-154.945892333984,2203.1728515625,1544.30334472656,-143.216766357422,2140.03955078125,1542.44311523438,-165.522567749023,2260.10327148438,1531.14965820313,136.327484130859,2174.47412109375,1565.2646484375,101.945686340332,2345.3828125,1629.36145019531,381.541076660156,2227.7578125,1665.73071289063,349.348236083984,2398.7568359375,1560.74206542969,493.787872314453,2237.85766601563,1599.78466796875,446.09130859375,2430.84008789063,1481.42834472656,-521.776550292969,2140.4677734375,1523.2255859375,-376.235992431641,2161.74951171875,1529.17102050781,-277.660858154297,2180.1552734375,1456.83276367188,-573.213684082031,2132.759765625,1489.43395996094,-494.822204589844,2120.43872070313,1488.65869140625,-501.028167724609,2167.4228515625,1483.07751464844,-441.057891845703,2035.54870605469,1477.52453613281,-470.381530761719,2254.11938476563,1490.80224609375,-255.939666748047,1975.93518066406,1532.66284179688,-322.706878662109,2374.45678710938,1383.76879882813,-137.414962768555,2010.30737304688,1513.80200195313,-165.704132080078,2423.03662109375
2,0.495,1083.80236816406,-184.708221435547,2213.58618164063,1105.77868652344,-172.683837890625,2133.27172851563,1063.98522949219,-195.551147460938,2286.00927734375,960.100830078125,166.541580200195,2145.23071289063,1097.93347167969,171.697952270508,2297.01293945313,1076.72741699219,498.338165283203,2175.6484375,1154.68505859375,523.692749023438,2308.43896484375,980.483337402344,641.788146972656,2169.56884765625,1029.92358398438,622.204162597656,2303.80615234375,1078.1171875,-676.683471679688,2149.70263671875,1075.3310546875,-477.177307128906,2167.48071289063,1078.32507324219,-347.186859130859,2187.76147460938,1068.10314941406,-750.389526367188,2137.546875,1092.51281738281,-641.360900878906,2125.40576171875,1064.576171875,-646.121276855469,2180.65380859375,1163.13635253906,-594.46875,2024.35900878906,1003.04565429688,-615.805053710938,2280.74609375,1241.43408203125,-351.860870361328,2029.02075195313,1023.62359619141,-399.975006103516,2423.88208007813,1224.18725585938,-139.03044128418,2014.81079101563,925.520080566406,-207.187515258789,2436.98315429688
3,0.528,1038.50341796875,-184.475891113281,2219.77075195313,1049.64233398438,-172.664276123047,2135.25708007813,1028.458984375,-195.126937866211,2295.98046875,889.099060058594,168.354736328125,2161.66674804688,1080.111328125,178.32438659668,2313.99609375,896.398742675781,528.170959472656,2191.21875,1157.03637695313,534.701354980469,2329.16650390625,765.90380859375,647.142639160156,2200.1640625,1038.21520996094,644.882141113281,2314.81787109375,1037.61840820313,-688.382019042969,2177.15771484375,1024.29528808594,-483.910858154297,2176.04907226563,1033.38330078125,-351.066589355469,2195.81323242188,1030.97619628906,-765.054077148438,2172.541015625,1048.96398925781,-654.152587890625,2148.1796875,1023.72552490234,-654.91650390625,2206.4609375,1109.00732421875,-620.988647460938,2031.99621582031,963.170776367188,-619.198486328125,2308.75268554688,1205.56945800781,-378.74462890625,2036.34765625,968.801513671875,-389.205352783203,2441.77563476563,1206.57006835938,-160.489242553711,2019.51574707031,860.127685546875,-196.126922607422,2434.6103515625
4,0.594,968.230529785156,-174.235824584961,2215.501953125,967.908874511719,-162.845764160156,2130.09643554688,968.520568847656,-184.506744384766,2292.51611328125,834.770202636719,188.734146118164,2172.21899414063,1045.62744140625,185.352111816406,2300.24584960938,733.984313964844,533.581481933594,2212.5947265625,1147.48474121094,536.195983886719,2297.83251953125,574.462097167969,610.329406738281,2213.46411132813,1042.93493652344,657.923706054688,2325.75073242188,966.422119140625,-678.905700683594,2174.3388671875,950.472595214844,-474.376373291016,2175.54077148438,961.107238769531,-341.195220947266,2193.26245117188,960.542297363281,-755.710632324219,2169.36352539063,976.06787109375,-644.263488769531,2145.14770507813,953.390197753906,-645.815185546875,2204.53857421875,1022.75848388672,-609.385620117188,2023.283203125,892.470886230469,-618.720458984375,2309.40991210938,1108.0009765625,-362.928527832031,2036.7548828125,909.471374511719,-385.575408935547,2436.48364257813,1086.20129394531,-144.919372558594,2031.12817382813,808.760070800781,-188.510055541992,2419.71557617188
5,0.891,579.333435058594,-185.511520385742,2185.09619140625,605.324035644531,-171.489990234375,2106.60034179688,555.896545410156,-198.155349731445,2255.87939453125,591.264709472656,193.747787475586,2151.2080078125,477.921569824219,156.333923339844,2315.4755859375,641.191833496094,533.041137695313,2230.10229492188,590.986083984375,491.738433837891,2349.77416992188,523.574096679688,657.577819824219,2211.45483398438,519.323547363281,630.183654785156,2378.59619140625,590.710815429688,-674.883972167969,2113.85571289063,592.64892578125,-476.609954833984,2137.50708007813,585.284484863281,-347.272094726563,2158.171875,578.167602539063,-747.944519042969,2101.61059570313,600.7626953125,-639.001342773438,2088.48120117188,583.179443359375,-645.315795898438,2147.49243164063,620.454040527344,-587.800598144531,1968.98657226563,538.627746582031,-615.465454101563,2255.91552734375,562.629821777344,-340.296722412109,1967.35522460938,501.195495605469,-363.640808105469,2303.40502929688,414.589050292969,-186.801086425781,1961.61584472656,404.517059326172,-171.583572387695,2282.50756835938
6,0.924,541.11376953125,-184.310516357422,2187.7841796875,574.605712890625,-170.780731201172,2111.85327148438,510.912658691406,-196.51091003418,2256.25439453125,570.866394042969,195.679733276367,2156.38940429688,425.625366210938,157.788452148438,2312.78393554688,630.868713378906,534.747985839844,2233.28588867188,447.332397460938,511.333953857422,2353.37622070313,510.185668945313,656.770263671875,2213.49975585938,321.922943115234,607.773132324219,2368.73461914063,534.613952636719,-675.457458496094,2123.87548828125,543.280700683594,-475.855285644531,2136.791015625,539.452880859375,-346.142822265625,2158.21557617188,519.54296875,-748.802917480469,2115.64331054688,545.697692871094,-641.260864257813,2096.47509765625,528.278930664063,-643.803100585938,2155.98486328125,566.255126953125,-597.881958007813,1973.69995117188,484.592498779297,-606.127197265625,2262.65966796875,500.403167724609,-351.761322021484,1968.37561035156,467.148315429688,-354.645477294922,2324.8955078125,333.584442138672,-218.011810302734,1962.98986816406,370.732452392578,-162.151290893555,2301.19091796875
7,0.957,509.957733154297,-184.490585327148,2195.53393554688,533.717651367188,-169.383316040039,2115.4208984375,488.532379150391,-198.113479614258,2267.77587890625,556.270629882813,199.871810913086,2161.7197265625,390.210327148438,158.274032592773,2312.75610351563,631.329528808594,541.084838867188,2231.69409179688,359.922302246094,514.977416992188,2351.3173828125,509.613403320313,664.937377929688,2214.8212890625,227.952499389648,605.602355957031,2363.04345703125,516.184875488281,-680.046325683594,2125.50415039063,517.66259765625,-478.567352294922,2142.36376953125,512.186401367188,-347.865356445313,2165.38671875,503.347564697266,-754.551208496094,2117.0458984375,522.958129882813,-644.518859863281,2097.65478515625,511.842193603516,-649.026977539063,2159.1689453125,532.753784179688,-595.49658203125,1974.26672363281,478.684326171875,-614.576843261719,2271.92456054688,466.018646240234,-347.000946044922,1968.95458984375,457.552795410156,-362.318969726563,2340.3427734375,298.204833984375,-211.012924194336,1970.39978027344,345.534027099609,-174.722442626953,2330.12719726563
8,0.99,467.430145263672,-173.652450561523,2193.9443359375,497.242156982422,-161.223388671875,2115.32495117188,440.547332763672,-184.860305786133,2264.83862304688,533.652526855469,207.144378662109,2162.62841796875,324.861785888672,166.104156494141,2313.82153320313,630.871032714844,542.957641601563,2233.11865234375,239.331802368164,512.609619140625,2363.81640625,506.961212158203,664.22998046875,2212.27392578125,88.5754852294922,568.161254882813,2363.09204101563,457.654449462891,-670.931945800781,2135.72631835938,463.365447998047,-468.884948730469,2145.72900390625,461.959930419922,-337.492279052734,2165.96826171875,443.223236083984,-745.469604492188,2129.90600585938,464.898529052734,-636.48046875,2106.60327148438,454.242706298828,-638.680603027344,2168.38305664063,476.443542480469,-595.332885742188,1980.38916015625,429.061218261719,-601.951782226563,2282.59643554688,424.658599853516,-342.999450683594,1980.94604492188,427.153747558594,-348.576629638672,2351.05029296875,240.850051879883,-229.275787353516,1976.06958007813,316.821319580078,-159.624420166016,2343.49047851563
9,1.023,427.406433105469,-166.026611328125,2201.51708984375,457.611206054688,-153.33430480957,2123.08276367188,400.169464111328,-177.471817016602,2272.24462890625,513.153991699219,212.889511108398,2168.63940429688,277.124572753906,171.157897949219,2320.18139648438,626.1953125,545.138366699219,2232.22729492188,182.439559936523,515.718933105469,2367.23461914063,505.032012939453,669.980224609375,2216.9326171875,29.6577072143555,565.385070800781,2370.2451171875,420.148284912109,-663.054809570313,2138.96728515625,422.371551513672,-461.085144042969,2151.83129882813,423.013244628906,-329.872955322266,2173.3115234375,406.987030029297,-737.753051757813,2132.193359375,426.534698486328,-628.065673828125,2110.28247070313,416.444549560547,-631.335327148438,2172.11499023438,438.683441162109,-586.152099609375,1984.36608886719,391.380676269531,-595.989562988281,2286.7998046875,393.049743652344,-332.615875244141,1983.08215332031,390.048248291016,-343.417541503906,2358.25,223.218643188477,-198.837707519531,1979.81799316406,289.289764404297,-149.033248901367,2360.09643554688
